id_comuna^Comuna^Provincia^Región
297^Alhué^Melipilla^RM
298^Cerro Navia^Santiago^RM
299^Conchalí^Santiago^RM
300^Curacaví^Melipilla^RM
303^El Bosque^Santiago^RM
304^El Monte^Talagante^RM
305^La Pintana^Santiago^RM
306^Lo Espejo^Santiago^RM
307^Lo Prado^Santiago^RM
308^María Pinto^Melipilla^RM
309^Melipilla^Melipilla^RM
311^Padre Hurtado^Talagante^RM
312^Paine^Maipo^RM
313^Pedro Aguirre Cerda^Santiago^RM
320^Pirque^Cordillera^RM
324^Puente Alto^Cordillera^RM
325^Renca^Santiago^RM
329^San Bernardo^Maipo^RM
336^San José de Maipo^Cordillera^RM
339^San Pedro^Melipilla^RM
342^San Ramón^Santiago^RM
344^Tiltil^Chacabuco^RM
